Item_Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Roti,Plain Rice,Meat Samosa,Saag Aloo,Tandoori King Prawn Masala,Lamb Shashlick Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Peshwari Naan,Curry - Chicken,Curry - Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Garlic Naan,Sheek Kebab,Madras - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Garlic Naan,Onion Bhajee,Lemon Rice,Chicken Pakora,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Onion Bhajee,Chicken Tikka Pasanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Garlic Naan,Royal Paneer,Vegetable Karahi,Vegetable Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Keema Naan,Meat Samosa,Chicken Tikka,Bombay Aloo,Curry - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Garlic Naan,Bombay Aloo,Tarka Dall,Aloo Gobi,Saag Dall,Rogon - Chicken,Hazary Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Plain Papadum,Chapati,Plain Naan,Pilau Rice,Curry - Chicken,Saag - Lamb,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peshwari Naan,Mushroom Rice,Lamb Tikka,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy Papadum,Plain Papadum,Plain Rice,Stuffed Paratha,Sheek Kebab,Lamb Tikka,Saag Paneer,Chicken Sylhet,Bengal King Prawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paratha,Lemonade 1.5 ltr,Pilau Rice,Saag Rice,Onion Bhajee,Meat Samosa,Saag Aloo,Chicken Tikka Masala,Chicken Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Dupiaza - Chicken,Chicken Shashlick,King Prawn Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Puree,Plain Rice,Sheek Kebab,Aloo Chaat,Tandoori Fish,Chicken Tikka Masala,Tandoori Chicken Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Onion Bhajee,Chana Masala,Tarka Dall,Bombay Aloo,Dhansak - Chicken,Lamb Balti,Chicken Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Bhajee,Aloo Chaat,Aloo Methi,Mushroom Bhajee,Tarka Dall,Paneer Tikka Karahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Pilau Rice,Saag Aloo,Vindaloo - Chicken Tikka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Keema Naan,Special Fried Rice,Meat Samosa,Mixed Starter,Korma - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Plain Papadum,Pilau Rice,Garlic Naan,Bombay Aloo,Lamb Tikka Jalfrezi,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Tikka Chilli Masala,Chicken Hari Mirch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Peshwari Naan,French Fries,Royal Paneer,Curry - Chicken,Korma - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Plain Rice,Saag Paneer,Brinjal Bhajee,Chicken Tikka Masala,Vegetable Karahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Spicy Papadum,Plain Naan,Pilau Rice,Meat Samosa,Onion Bhajee,Mushroom Rice,Chicken Tikka,Chicken Tikka (Main),Chicken Tikka Jalfrezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Chicken Pakora,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Pilau Rice,Bombay Aloo,Korma - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Peshwari Naan,Pilau Rice,Onion Bhajee,Dupiaza - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Plain Rice,Madras - Chicken,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Roti,Pilau Rice,Tarka Dall,Paneer Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Curry - Lamb,Lal Mirch Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Chicken Tikka,Chicken Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Chicken (Main),Chicken Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Naan,Tandoori Roti,Pilau Rice,Peshwari Naan,Meat Samosa,Saag Aloo,Tandoori Chicken Masala,Lamb Tikka Jalfrezi,Hazary Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Mint Sauce,Plain Papadum,Tandoori Roti,Raitha,Saag Paneer,Aloo Gobi,Tarka Dall,Chicken Hari Mirch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Mint Sauce,Onion Chutney,Plain Papadum,Plain Naan,Plain Rice,Special Fried Rice,Bombay Aloo,Mushroom Bhajee,Chicken Tikka Masala,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Mushroom Rice,Onion Rice,Chicken Tikka Garlic,Korma - Chicken,Tandoori King Prawn Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Roti,Plain Naan,Garlic Naan,Tandoori Chicken (Main),Chicken Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Special Fried Rice,Tandoori Chicken (Main),Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetable Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Garlic Naan,Aloo Gobi,Chana Masala,Lamb Karahi,Chicken Karahi,Lamb Chilli Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Saag Paneer,Dhansak - Chicken,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Red Sauce,Spicy Papadum,Chapati,Plain Rice,Dupiaza - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Chicken Tikka,Madras - Chicken,Chicken Tikka Chilli Masala,Prawn Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Peshwari Naan,Pilau Rice,Masala Sauce,Dupiaza - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Peshwari Naan,Saag Aloo,Bhindi Bhajee,Saag - Chicken Tikka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Plain Papadum,Pilau Rice,Bottle Coke,Madras - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Bhajee,French Fries,Bombay Aloo,Curry - Lamb,Chicken Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Prawn Puree,Saag Bhajee,Bhuna - Chicken Tikka,Korma - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sauce,Plain Papadum,Pilau Rice,Meat Samosa,Madras - Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Plain Papadum,Plain Naan,Pilau Rice,Chicken Tikka,Prawn Puree,Saag Aloo,Madras - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Special Fried Rice,Madras - Chicken,Chicken Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meat Samosa,Lamb Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Garlic Naan,Korma - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saag Rice,Saag Dall,Tarka Dall,Saag Aloo,Lamb Tikka (Main),Tandoori Fish (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Fried Rice,Vegetable Rice,Madras - Chicken,Bhuna - Chicken,Dupiaza - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Bhajee,Bengal Salad,Chicken Shashlick,Chicken Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Madras - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Rice,Garlic Naan,Prawn Puree,Mixed Vegetable Curry,Chicken Tikka Masala,Korma - Chicken,Rogon - Lamb,Chicken Rezala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Vegetable Rice,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Roti,Mushroom Rice,Onion Bhajee,Aloo Gobi,Dhansak - Chicken Tikka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Methi - Chicken,Lamb Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Plain Rice,Korma - Chicken,Saag - Chicken,Chicken Haryali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Plain Naan,Plain Rice,Pilau Rice,Chicken Tikka,Saag Aloo,Bombay Aloo,Chicken Tikka Masala,Bhuna - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Keema Naan,Aloo Gobi,Bhuna - Chicken,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Plain Papadum,Keema Naan,Garlic Naan,Pilau Rice,Korma Sauce,Chicken Tikka Jalfrezi,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Lime Pickle,Mint Sauce,Plain Papadum,Masala Sauce,Chicken Tikka,Sheek Kebab,Bhindi Bhajee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Garlic Naan,Pilau Rice,Butter Chicken,Lamb Roshni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paratha,Aloo Methi,Lamb Karahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Rice,Pilau Rice,Curry Sauce,Prawn Puree,Madras - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Onion Bhajee,Chicken Tikka Masala,Korma - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puree,Special Fried Rice,Saag - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sauce,Pilau Rice,Peshwari Naan,Onion Bhajee,Chicken Chaat,Bombay Aloo,Chicken Tikka Masala,Bhuna - Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Royal Paneer,Dhansak - Chicken Tikka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Dupiaza - Lamb,Korma - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Red Sauce,Plain Papadum,Keema Naan,Onion Bhajee,French Fries,Korma Sauce,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Plain Rice,Pilau Rice,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peshwari Naan,Bottle Coke,Special Fried Rice,Muttar Paneer,Curry - Prawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Spicy Papadum,Plain Naan,Vegetable Roll,Bombay Aloo,Vegetable Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Roti,Garlic Naan,Baingan Hari Mirch,Muttar Paneer,Chicken Tikka Sizzler,Vegetable Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lime Pickle,Onion Chutney,Onion Naan,COBRA (660ML),King Prawn Shaslick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Pilau Rice,Mushroom Rice,Saag Bhajee,Bhuna - Chicken Tikka,Chicken Tikka (Main),Lamb Chilli Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Red Sauce,Plain Papadum,Chapati,Pilau Rice,Plain Rice,Keema Naan,Bottle Diet Coke,Curry - Lamb,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Prawn Puree,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Spicy Papadum,Chapati,Plain Rice,Chicken Tikka Jalfrezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Plain Rice,Madras - Lamb,Curry - Chicken,Chicken Tikka Jalfrezi,Lamb Tikka Jalfrezi,Curry - Prawn,Madras - King Prawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Fried Rice,Vegetable Rice,Bhuna - Chicken,Dupiaza - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Roti,Vegetable Mysore,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Garlic Naan,Onion Bhajee,Mushroom Rice,Dhansak - Lamb,Chicken Tikka (Main),Korma - Chicken,Dhansak - Prawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Onion Bhajee,Dupiaza - Chicken,Korma - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Pilau Rice,Keema Naan,Bombay Aloo,Lamb Tikka Jalfrezi,Korma - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Mint Sauce,Onion Chutney,Lime Pickle,Plain Papadum,Keema Naan,Peshwari Naan,Mushroom Rice,Onion Bhajee,Royal Paneer,Rogon - Lamb,Korma - Prawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Mango Chutney,Plain Papadum,Garlic Naan,Pilau Rice,Bombay Aloo,Chicken Tikka Jalfrezi,Dhansak - Chicken Tikka,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meat Samosa,Lamb Tikka,Bhindi Bhajee,Rogon - Lamb,Butter Chicken,Chicken Mysore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Plain Naan,Vegetable Rice,Pathia - Chicken Tikka,Bengal Fish Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Naan,Keema Naan,Peshwari Naan,Plain Rice,Korma Sauce,Korma - Chicken,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Pilau Rice,Korma - Chicken,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Mushroom Rice,Saag Aloo,Lamb Tikka Jalfrezi,Tandoori Fish (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Bhajee,Lemon Rice,COBRA (660ML),Chicken Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Roti,Mixed Vegetable Curry,Persian Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aloo Chaat,Bombay Aloo,Curry - Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peshwari Naan,Pilau Rice,Meat Samosa,Saag Paneer,Korma - Chicken,Rogon - Chicken Tikka,Dhansak - Lamb,Dhansak - Chicken Tikka,Lamb Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Onion Bhajee,King Prawn Puree,Chana Masala,Tandoori Chicken (Main),Chicken Shashlick Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Tandoori Roti,Onion Bhajee,Madras Sauce,Garlic Rice,Aloo Chaat,Bombay Aloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Peshwari Naan,COBRA (660ML),Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Pilau Rice,Garlic Naan,Mushroom Rice,Madras - Lamb,Korma - Chicken,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Pilau Rice,Garlic Naan,Mushroom Rice,Madras - Lamb,Korma - Chicken,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Saag Aloo,Mushroom - Chicken,Chicken Haryali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Mango Chutney,Keema Naan,Garlic Naan,Lemonade 1.5 ltr,Royal Paneer,Korma - Chicken,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Kulcha Naan,Vegetable Karahi,Chicken Shashlick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Onion Bhajee,Madras - Lamb,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Fried Rice,Vegetable Rice,Bhuna - Chicken,Rogon - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Plain Rice,Bombay Aloo,Madras - Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Chapati,Plain Naan,Pilau Rice,Onion Bhajee,Madras - Chicken,Korma - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Mango Chutney,Onion Chutney,Plain Naan,Pilau Rice,Meat Samosa,Chicken Tikka (Main),Lamb Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Masala Sauce,Mushroom Rice,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Mushroom Rice,Bombay Aloo,Mixed Vegetable Curry,Korma - Chicken,Bhuna - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Garlic Naan,Meat Samosa,Onion Bhajee,Curry - Chicken,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Peshwari Naan,Saag Aloo,Lamb Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Spicy Papadum,Pilau Rice,Meat Samosa,Onion Bhajee,Stuffed Paratha,Mushroom Rice,Chicken Tikka,Chicken Tikka Masala,Dhansak - Chicken,Chicken Tikka Jalfrezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saag Rice,Chicken Chaat,Saag - Chicken Tikka,Lamb Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Red Sauce,Spicy Papadum,Plain Papadum,Garlic Naan,Mushroom Rice,Mixed Starter,Dhansak - Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Bottle Coke,Onion Bhajee,Chicken Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Peshwari Naan,Pilau Rice,Saag Aloo,Vindaloo - Chicken Tikka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Naan,Pilau Rice,Garlic Naan,Masala Sauce,Bombay Aloo,Baingan Hari Mirch,Dhansak - Chicken,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Saag Paneer,Muttar Paneer,Vegetable Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Plain Naan,Peshwari Naan,Keema Naan,Plain Rice,Chicken Tikka,Korma - Chicken,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Bottle Coke,Mushroom Rice,Bhuna - Lamb,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombay Aloo,Saag Aloo,Chicken Tikka Jeera,Bhuna - Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Pilau Rice,Garlic Naan,Madras - Chicken,Vindaloo - King Prawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Mint Sauce,Plain Papadum,Plain Naan,Pilau Rice,Raitha,Meat Samosa,Bombay Aloo,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peshwari Naan,Masala Sauce,Special Fried Rice,Meat Samosa,Chana Masala,Dupiaza - Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Naan,Peshwari Naan,Mushroom Bhajee,Chana Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Green Salad,Egg Rice,Chana Masala,Lamb Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
